station_id,origin_epoch,predicted_for_epoch,lead_hours,actual_kw,predicted_kw,error_kw
1,1787972400,1787994000,6,30.535,5.74137,-24.7936
1,1787972400,1788058800,24,17.145,10.9865,-6.15851
1,1787976000,1787979600,1,30.2,18.1998,-12.0002
1,1787976000,1787997600,6,26.875,10.4446,-16.4304
1,1787976000,1788062400,24,25.317,16.7723,-8.54468
1,1787979600,1787983200,1,41.25,25.6475,-15.6025
1,1787979600,1788001200,6,20.276,11.8753,-8.40075
1,1787979600,1788066000,24,26.158,26.6193,0.461338
1,1787983200,1787986800,1,40.221,34.9723,-5.24871
1,1787983200,1788004800,6,26.903,20.0801,-6.82286
1,1787983200,1788069600,24,47.856,33.9367,-13.9193
1,1787986800,1787990400,1,39.934,29.7145,-10.2195
1,1787986800,1788008400,6,31.627,31.3705,-0.25647
1,1787986800,1788073200,24,50.686,33.8873,-16.7987
1,1787990400,1787994000,1,30.535,32.0733,1.53833
1,1787990400,1788012000,6,28.316,42.2002,13.8842
1,1787990400,1788076800,24,36.713,34.088,-2.62503
1,1787994000,1787997600,1,26.875,24.3011,-2.57391
1,1787994000,1788015600,6,44.436,55.3002,10.8642
1,1787994000,1788080400,24,26.513,27.5669,1.05392
1,1787997600,1788001200,1,20.276,29.5089,9.23289
1,1787997600,1788019200,6,46.429,67.9564,21.5274
1,1787997600,1788084000,24,16.645,25.5696,8.92463
1,1788001200,1788004800,1,26.903,26.8556,-0.0474353
1,1788001200,1788022800,6,58.021,73.0204,14.9994
1,1788001200,1788087600,24,14.964,21.9239,6.95993
1,1788004800,1788008400,1,31.627,36.6731,5.04614
1,1788004800,1788026400,6,40.597,75.7799,35.1829
1,1788004800,1788091200,24,22.695,25.1589,2.46395
1,1788008400,1788012000,1,28.316,36.2346,7.9186
1,1788008400,1788030000,6,52.56,74.1023,21.5423
1,1788008400,1788094800,24,28.493,27.3486,-1.14441
1,1788012000,1788015600,1,44.436,38.9122,-5.52383
1,1788012000,1788033600,6,39.079,65.5646,26.4856
1,1788012000,1788098400,24,39.452,31.6231,-7.82886
1,1788015600,1788019200,1,46.429,59.3144,12.8854
1,1788015600,1788037200,6,31.816,49.417,17.601
1,1788015600,1788102000,24,53.554,45.3676,-8.18641
1,1788019200,1788022800,1,58.021,61.9042,3.88325
1,1788019200,1788040800,6,20.942,42.0888,21.1468
1,1788019200,1788105600,24,67.586,59.5244,-8.0616
1,1788022800,1788026400,1,40.597,64.2772,23.6802
1,1788022800,1788044400,6,6.427,27.7578,21.3308
1,1788022800,1788109200,24,61.51,63.3571,1.84706
1,1788026400,1788030000,1,52.56,48.123,-4.43701
1,1788026400,1788048000,6,29.013,16.2524,-12.7606
1,1788026400,1788112800,24,53.652,58.2747,4.62269
1,1788030000,1788033600,1,39.079,50.7966,11.7176
1,1788030000,1788051600,6,16.108,9.62976,-6.47824
1,1788030000,1788116400,24,54.157,53.78,-0.377043
1,1788033600,1788037200,1,31.816,26.0057,-5.81033
1,1788033600,1788055200,6,30.32,2.71403,-27.606
1,1788033600,1788120000,24,35.883,42.8545,6.97154
1,1788037200,1788040800,1,20.942,17.5189,-3.42312
1,1788037200,1788058800,6,17.145,0,-17.145
1,1788037200,1788123600,24,16.939,32.5551,15.6161
1,1788040800,1788044400,1,6.427,5.84562,-0.58138
1,1788040800,1788062400,6,25.317,0,-25.317
1,1788040800,1788127200,24,5.563,22.3029,16.7399
1,1788044400,1788048000,1,29.013,4.48887,-24.5241
1,1788044400,1788066000,6,26.158,0,-26.158
1,1788044400,1788130800,24,8.444,17.5346,9.09064
1,1788048000,1788051600,1,16.108,15.6057,-0.502334
1,1788048000,1788069600,6,47.856,0,-47.856
1,1788048000,1788134400,24,25.5,19.2961,-6.20391
1,1788051600,1788055200,1,30.32,0.370725,-29.9493
1,1788051600,1788073200,6,50.686,0,-50.686
1,1788051600,1788138000,24,18.277,18.5709,0.293932
1,1788055200,1788058800,1,17.145,11.4228,-5.72223
1,1788055200,1788076800,6,36.713,0,-36.713
1,1788055200,1788141600,24,6.155,20.4323,14.2773
1,1788058800,1788062400,1,25.317,8.38547,-16.9315
1,1788058800,1788080400,6,26.513,0.398335,-26.1147
1,1788058800,1788145200,24,19.53,23.9245,4.39452
1,1788062400,1788066000,1,26.158,19.63,-6.52795
1,1788062400,1788084000,6,16.645,7.40245,-9.24255
1,1788062400,1788148800,24,24.702,26.0107,1.30868
1,1788066000,1788069600,1,47.856,24.2406,-23.6154
1,1788066000,1788087600,6,14.964,14.0805,-0.883542
1,1788066000,1788152400,24,34.04,31.862,-2.178
1,1788069600,1788073200,1,50.686,39.3874,-11.2986
1,1788069600,1788091200,6,22.695,20.2758,-2.41917
1,1788069600,1788156000,24,57.831,41.9827,-15.8483
1,1788073200,1788076800,1,36.713,36.4024,-0.310609
1,1788073200,1788094800,6,28.493,28.8577,0.364655
1,1788073200,1788159600,24,59.446,47.7264,-11.7196
1,1788076800,1788080400,1,26.513,30.5071,3.99412
1,1788076800,1788098400,6,39.452,41.4863,2.03427
1,1788076800,1788163200,24,50.086,43.6812,-6.40478
1,1788080400,1788084000,1,16.645,24.9424,8.29744
1,1788080400,1788102000,6,53.554,58.152,4.59797
1,1788080400,1788166800,24,35.102,32.85,-2.25205
1,1788084000,1788087600,1,14.964,24.713,9.74905
1,1788084000,1788105600,6,67.586,69.4532,1.86724
1,1788084000,1788170400,24,30.459,27.4087,-3.05031
1,1788087600,1788091200,1,22.695,24.9863,2.29128
1,1788087600,1788109200,6,61.51,78.6235,17.1135
1,1788087600,1788174000,24,37.739,22.6111,-15.1279
1,1788091200,1788094800,1,28.493,35.6616,7.16864
1,1788091200,1788112800,6,53.652,78.1885,24.5365
1,1788091200,1788177600,24,26.631,28.7712,2.14022
1,1788094800,1788098400,1,39.452,36.2378,-3.21424
1,1788094800,1788116400,6,54.157,75.0166,20.8596
1,1788094800,1788181200,24,33.167,32.294,-0.872985
1,1788098400,1788102000,1,53.554,45.0181,-8.53594
1,1788098400,1788120000,6,35.883,69.5829,33.6999
1,1788098400,1788184800,24,46.416,40.2956,-6.1204
1,1788102000,1788105600,1,67.586,53.4828,-14.1032
1,1788102000,1788123600,6,16.939,56.3846,39.4456
1,1788102000,1788188400,24,52.729,51.2049,-1.52412
1,1788105600,1788109200,1,61.51,67.4211,5.91112
1,1788105600,1788127200,6,5.563,56.1599,50.5969
1,1788105600,1788192000,24,75.135,69.5798,-5.5552
1,1788109200,1788112800,1,53.652,55.5388,1.88678
1,1788109200,1788130800,6,8.444,43.1551,34.7111
1,1788109200,1788195600,24,71.201,68.4129,-2.78807
1,1788112800,1788116400,1,54.157,52.9802,-1.17681
1,1788112800,1788134400,6,25.5,44.235,18.735
1,1788112800,1788199200,24,66.587,63.4004,-3.18661
1,1788116400,1788120000,1,35.883,51.619,15.736
1,1788116400,1788138000,6,18.277,32.068,13.791
1,1788116400,1788202800,24,53.635,60.7009,7.06594
1,1788120000,1788123600,1,16.939,33.0851,16.1461
1,1788120000,1788141600,6,6.155,26.8477,20.6927
1,1788120000,1788206400,24,36.151,49.0445,12.8935
1,1788123600,1788127200,1,5.563,20.5186,14.9556
1,1788123600,1788145200,6,19.53,24.1062,4.57623
1,1788123600,1788210000,24,29.646,33.9943,4.34826
1,1788127200,1788130800,1,8.444,18.8605,10.4165
1,1788127200,1788148800,6,24.702,21.5659,-3.13615
1,1788127200,1788213600,24,22.323,25.7655,3.4425
1,1788130800,1788134400,1,25.5,14.8851,-10.6149
1,1788130800,1788152400,6,34.04,21.61,-12.43
1,1788130800,1788217200,24,14.639,18.9083,4.26932
1,1788134400,1788138000,1,18.277,25.8587,7.58171
1,1788134400,1788156000,6,57.831,10.7526,-47.0784
1,1788134400,1788220800,24,17.865,29.0191,11.1541
1,1788138000,1788141600,1,6.155,12.2289,6.07395
1,1788138000,1788159600,6,59.446,12.4138,-47.0322
1,1788138000,1788224400,24,21.474,26.7694,5.29539
1,1788141600,1788145200,1,19.53,17.2729,-2.25706
1,1788141600,1788163200,6,50.086,12.541,-37.545
1,1788141600,1788228000,24,20.041,27.7263,7.68529
1,1788145200,1788148800,1,24.702,25.7683,1.06627
1,1788145200,1788166800,6,35.102,21.8018,-13.3002
1,1788145200,1788231600,24,23.207,27.986,4.77902
1,1788148800,1788152400,1,34.04,24.5462,-9.49381
1,1788148800,1788170400,6,30.459,25.9849,-4.47413
1,1788148800,1788235200,24,22.667,32.5538,9.88681
1,1788152400,1788156000,1,57.831,40.5171,-17.3139
1,1788152400,1788174000,6,37.739,32.0883,-5.65068
1,1788152400,1788238800,24,43.492,44.5001,1.00812
1,1788156000,1788159600,1,59.446,52.5068,-6.93922
1,1788156000,1788177600,6,26.631,35.2272,8.59621
1,1788156000,1788242400,24,38.353,56.3622,18.0092
1,1788159600,1788163200,1,50.086,52.0691,1.98309
1,1788159600,1788181200,6,33.167,42.0305,8.86349
1,1788159600,1788246000,24,45.693,64.7394,19.0464
1,1788163200,1788166800,1,35.102,41.6097,6.50765
1,1788163200,1788184800,6,46.416,59.2448,12.8288
1,1788163200,1788249600,24,42.051,56.6377,14.5867
1,1788166800,1788170400,1,30.459,32.9203,2.46133
1,1788166800,1788188400,6,52.729,76.5764,23.8474
1,1788166800,1788253200,24,34.988,45.3105,10.3225
1,1788170400,1788174000,1,37.739,33.6452,-4.09378
1,1788170400,1788192000,6,75.135,91.2277,16.0927
1,1788170400,1788256800,24,22.187,38.1065,15.9195
1,1788174000,1788177600,1,26.631,43.1093,16.4783
1,1788174000,1788195600,6,71.201,97.8564,26.6554
1,1788174000,1788260400,24,15.195,41.3739,26.1789
